ITEM,UNITS,UNIT PRICE,LINK?,,DETAIL
Glass container - ?? dim,x1,,https://www.target.com/p/medium-glass-storage-canister-with-wood-lid-threshold-8482/-/A-52350156,10.99,6947225811704
2835 (smd led) 1200 leds,x100 of the 1200,1.00,https://www.ebay.com/itm/202668996635?var=503143030764,,$12 for 1200
12V 3A power supply,x1,4.30,https://www.ebay.com/itm/254177661446?var=553536824926,,not UL listed
"Base wood / concrete 1"" thick",x1,8.00,WAS MDF ,,to be decided
ALUMINUM - v channel ,x10,5.06,https://www.ebay.com/itm/134098398297,,not UL LISTED - 
,,,,,
ELECTRICAL PARTS??,,,,,
,,,,,
,,,,,
,,,,,
NIS-5112,x1,3.20,See neighboring sheet,,
Trim pot,x30,0.23,Overall cost 6.99,,
SOIC breakout,x1,0.27,https://www.ebay.com/itm/402679656887?hash=item5dc193f1b7:g:yjcAAOSw85hgHjg8&var=672949759255,,/ for for 10.85
12V Barrel female adaptor,x1,0.95,https://www.adafruit.com/product/373,,
,,,,,
two - spade connectors,complete,,",,,",,
solder - connect to led strip,complete,,",,,",,
,,23.02,,,
,,,,,
,,,,,
LARGER PARTS...,,,,,
1/4 - 20 - How long?,x1,3.00,,,
1/4 - 20 nutss,x4,1.00,,,
(OPTIONAL 12V kapton heater),x1,??,,(smd option) https://www.ebay.com/itm/363559575048?hash=item54a5d6de08:g:fxcAAOSwRpphQ-9V&_trksid=p5731.m3795,https://www.mcmaster.com/threaded-rods/18-8-stainless-steel-threaded-rods-10/
(optional 12V fan),x0,??,,,
(optional 3 amp fuse),x0,??,,,
(optional adjustable fuse ),x1,??,,,
"WOODEN table, to place underneath",x1,49.99,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-stained-oak-effect-60324520/#content,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
https://somanytech.com/12v-to-5v-converter-4-simple-circuits-for-projects/,,,,,
https://www.ebay.com/itm/304077146494?hash=item46cc69097e:g:6G4AAOSwBGJg-gM5&amdata=enc%3AAQAHAAAAkBxsrslnqty9CCrhJOfewFSAJpuwgw8h4zku%2F1vd%2BH%2BKo1325Bordn%2FgO902JJAMUJU%2BQ16WrgEnnXLpZlOGujcMQxr2nwbX%2Fud3pjYvXYbrDugJzE5AoYQS4nmAgNcrWv8JweNvPfqnTJMCj6jIUpySTrURnaiRFM4APj3Lh7Hp6irTPB09d1zSuH7bXzrljQ%3D%3D%7Ctkp%3ABk9SR7627vuqYQ,LM7815 12v to 5v (converter),,,,